Year,Round,Match Info,Date Time,Countries,Scores by Quarter,Final Score
2024,group-c,"Men's Preliminary Round I - Group C Match 5
OFFICIAL",2/5/2024 8:00,Japan vs Serbia,3 4 4 4 1 5 2 4,"10
17"
2024,group-c,"Men's Preliminary Round I - Group C Match 6
OFFICIAL",2/5/2024 9:30,Montenegro vs United States of America,3 1 2 3 4 3 2 4,"16
15"
2024,group-c,"Men's Preliminary Round I - Group C Match 11
OFFICIAL",2/7/2024 4:00,United States of America vs Japan,4 1 4 0 4 2 6 2,"18
5"
2024,group-c,"Men's Preliminary Round I - Group C Match 12
OFFICIAL",2/7/2024 9:30,Serbia vs Montenegro,4 1 2 2 5 3 3 0,"14
6"
2024,group-c,"Men's Preliminary Round I - Group C Match 18
OFFICIAL",2/9/2024 1:00,Montenegro vs Japan,3 2 2 3 4 0 4 6,"13
11"
2024,group-c,"Men's Preliminary Round I - Group C Match 17
OFFICIAL",2/9/2024 9:30,Serbia vs United States of America,2 3 3 4 6 1 3 4,"14
12"
2024,group-d,"Men's Preliminary Round I - Group D Match 7
OFFICIAL",2/5/2024 11:00,Italy vs Kazakhstan,6 1 10 1 8 1 9 0,"33
3"
2024,group-d,"Men's Preliminary Round I - Group D Match 8
OFFICIAL",2/5/2024 12:30,Romania vs Hungary,2 5 2 5 3 2 1 3,"8
15"
2024,group-d,"Men's Preliminary Round I - Group D Match 14
OFFICIAL",2/7/2024 8:00,Kazakhstan vs Romania,1 7 1 6 0 5 1 7,"3
25"
2024,group-d,"Men's Preliminary Round I - Group D Match 13
OFFICIAL",2/7/2024 12:30,Hungary vs Italy,2 2 2 2 3 3 2 2,"15
14"
2024,group-d,"Men's Preliminary Round I - Group D Match 19
OFFICIAL",2/9/2024 2:30,Kazakhstan vs Hungary,0 8 0 5 0 8 1 7,"1
28"
2024,group-d,"Men's Preliminary Round I - Group D Match 20
OFFICIAL",2/9/2024 4:00,Romania vs Italy,3 4 4 4 2 5 1 3,"10
16"
2023,finals,"Men's Placement Match 3/4
OFFICIAL",7/29/2023 0:00,Serbia vs Spain,3 3 2 3 0 2 1 1,"6
9"
2023,finals,"Men's Final Match 48
OFFICIAL",7/29/2023 5:00,Greece vs Hungary,2 4 2 1 3 2 3 3,"13
14"
2023,semifinals,"Men's Semi Final Match 43
OFFICIAL",7/27/2023 4:00,Greece vs Serbia,3 2 3 0 3 3 4 2,"13
7"
2023,semifinals,"Men's Semi Final Match 44
OFFICIAL",7/27/2023 5:30,Hungary vs Spain,3 3 1 3 3 2 5 3,"12
11"
2023,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",7/25/2023 2:00,Greece vs Montenegro,2 1 4 3 1 3 3 2,"10
9"
2023,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",7/25/2023 3:30,Italy vs Serbia,3 3 2 2 4 4 2 2,"14
15"
2023,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",7/25/2023 5:00,Hungary vs United States of America,4 4 3 1 3 2 3 5,"13
12"
2023,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",7/25/2023 6:30,Spain vs France,1 2 1 2 2 1 3 1,"7
6"
2023,classification,"Men's Classification 13-16 Match 25
OFFICIAL",7/22/2023 20:00,Kazakhstan vs People's Republic of China,1 1 4 0 3 1 4 3,"12
5"
2023,classification,"Men's Classification 13-16 Match 26
OFFICIAL",7/22/2023 21:30,Argentina vs South Africa,3 0 4 2 5 1 3 3,"15
6"
2023,classification,"Men's Placement Match 15/16
OFFICIAL",7/24/2023 20:00,People's Republic of China vs South Africa,3 2 4 2 4 1 5 3,"16
8"
